Iphone_long_disc,Iphone_rating,Iphone_price,Seller_loc,Shiping_cost,QuantitySold,Sub_title
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$143.50,from United States,+$36.11 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Iphone 11 Pro 256 GB (Unlocked),4.5 out of 5 stars.,$220.00,from United States,+$34.45 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 256 GB · Unlocked
Apple iPhone 11 - 128GB - Black (Unlocked) A2111 *READ*,4.5 out of 5 stars.,$167.50,from United States,+$38.75 shipping,None,Parts Only · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 128GB Purple Unlocked Cracked Screen.,5.0 out of 5 stars.,$182.50,from United States,+$31.19 shipping,None,Parts Only · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 Pro Max - 64GB - Gray (Unlocked) (Read Description) EE1084,4.5 out of 5 stars.,$160.00,from United States,+$30.52 shipping,None,Parts Only · Apple iPhone 11 Pro Max · 64 GB · Unlocked
Apple iPhone 11 Pro - 64GB - Green (Unlocked) (Read Description) ED1154,None Rating,$197.50,from United States,+$31.63 shipping,None,Parts Only · Apple iPhone 11 Pro · 64 GB · Unlocked
Apple iPhone 11 A2111 - 64GB - Green (Unlocked) (MUST READ DESCRIPTION),5.0 out of 5 stars.,$112.50,from United States,+$29.12 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 A2111 - 64GB - Black (Unlocked) (MUST READ DESCRIPTION) 34517,4.5 out of 5 stars.,$102.50,from United States,+$28.83 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 128GB - Purple (Unlocked),4.5 out of 5 stars.,$162.50,from United States,+$39.00 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 - 64GB - Purple (Unlocked) (Read Description) EF1127,None Rating,$112.50,from United States,+$29.12 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 128GB - Purple (Unlocked) (Read Description) EE1062,None Rating,$227.50,from United States,+$32.52 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 - 64GB - Black (Unlocked) A2111  [IC],4.5 out of 5 stars.,$59.99,from United States,+$27.57 shipping,None,Parts Only · Apple iPhone 11 · 64 GB · Unlocked
New ListingApple iPhone 11 - 128GB - Green (Unlocked) (Read Description) EG1038,None Rating,$152.50,from United States,+$30.30 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$51.00,from United States,+$35.31 shipping,None,Parts Only · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 Pro Max - 512GB - Gray (Unlocked) (MUST READ DESCRIPTION) #34517,5.0 out of 5 stars.,$165.50,from United States,+$30.69 shipping,None,Pre-Owned · Apple iPhone 11 Pro Max · 512 GB · Unlocked
New ListingApple iPhone 11-Black- 64GB-Read Description,5.0 out of 5 stars.,$225.00,from United States,+$40.59 shipping,None,Parts Only · Apple iPhone 11 · 64 GB · U.S. Cellular
Apple iPhone 11 A2111 - 64GB - White (Unlocked) (MUST READ DESCRIPTION) #34517,4.5 out of 5 stars.,$110.49,from United States,+$29.06 shipping,None,Parts Only · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 Pro - 256GB - Space Grey (Unlocked) A2215 (CDMA + GSM),None Rating,$188.17,from Australia,+$25.51 shipping,None,Pre-Owned · Apple · Apple iPhone 11 Pro
New ListingApple iPhone 11 Pro - 256GB - Silver (Verizon),5.0 out of 5 stars.,$30.00,from United States,+$39.14 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 256 GB · Verizon
Apple iPhone 11 Pro - 256GB - Space Gray (Unlocked) IC lCK,4.5 out of 5 stars.,$80.56,from United States,+$35.18 shipping,None,Parts Only · Apple iPhone 11 Pro · 256 GB · Unlocked
New ListingApple iPhone 11 Pro - 64GB - Space Gray (Unlocked),4.5 out of 5 stars.,$299.89,from United States,+$34.65 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 64 GB · Unlocked
Apple iPhone 11 (Excellent Condition) Factory Unlocked or AT&T,None Rating,$260.00,from United States,+$33.47 shipping,None,Pre-Owned
Apple iPhone 11 Pro Max 256GB Smartphone White A2161  (Unlocked),None Rating,$275.00,from United States,+$42.17 shipping,None,Pre-Owned · Apple iPhone 11 Pro Max · 256 GB · Unlocked
Apple iPhone 11 - 128GB - White (Unlocked) A2111 (CDMA + GSM) Fair,5.0 out of 5 stars.,$175.00 to $365.00,from United States,+$30.97 shipping,22+ sold,Pre-Owned
"Apple iPhone 11 Unlocked, 64GB/128GB/256GB, All Colours - Good",4.5 out of 5 stars.,$269.59 to $392.13,from United Kingdom,+$26.62 shipping estimate,478+ sold,Fast and Free Shipping 12 Months Warranty UK Seller
Apple iPhone 11 - 64GB | 128GB - (Unlocked) A2111 (CDMA + GSM) - Excellent,4.5 out of 5 stars.,$269.95 to $289.95,from United States,+$33.77 shipping,None,Excellent - Refurbished
Apple iPhone 11 - 64GB | 128GB - (Unlocked) A2111 (CDMA + GSM) Smartphone - Good,4.5 out of 5 stars.,$254.95 to $304.95,from United States,+$33.33 shipping,None,Good - Refurbished
Apple iPhone 11 - 64GB - Purple (Unlocked) A2111 (CDMA + GSM),None Rating,$271.98,from United States,+$33.83 shipping,None,Open Box · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 Pro - 64GB - Gray (Unlocked) (Read Description) EF1103,None Rating,$177.50,from United States,+$31.04 shipping,None,Parts Only · Apple iPhone 11 Pro · 64 GB · Unlocked
Apple iPhone 11 - 64GB - Purple (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$269.96,from United States,+$33.77 shipping,792 sold,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 128GB - A2111 Fully Unlocked - Pristine Condition - Smartphone,5.0 out of 5 stars.,$183.00 to $382.00,from United States,+$24.02 shipping,64+ sold,SAME DAY SHIPPING~FREE RETURN~Top Seller
Apple iPhone 11 Pro - 256GB - Green (Unlocked) (Read Description) EF1094,None Rating,$222.00,from United States,+$32.35 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 256 GB · Unlocked
Apple iPhone 11 - 64GB - Purple (Unlocked),None Rating,$181.50,from United States,+$42.91 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 64GB -Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$234.95,from United States,+$25.55 shipping,188 sold,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 64GB | 128GB - Black (Unlocked) A2111 (CDMA + GSM) All Colors,None Rating,$229.95 to $314.95,from United States,+$33.62 shipping,None,Open Box
Apple iPhone 11 - 256GB - Black (Unlocked) (Read Description) ED1035,5.0 out of 5 stars.,$87.00,from United States,+$28.37 shipping,None,Pre-Owned · Apple iPhone 11 · 256 GB · Unlocked
Apple iPhone 11 64GB 128GB Verizon T-Mobile AT&T Unlocked Good Condition,None Rating,$178.00 to $368.00,from United States,+$31.06 shipping,187+ sold,Pre-Owned
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$322.98,from United States,+$35.33 shipping,60 sold,Open Box · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) A2111 (CDMA + GSM) READ DESC,None Rating,$189.99,from United States,+$39.41 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 64GB - Purple (Unlocked) A2111 (CDMA + GSM),5.0 out of 5 stars.,$177.00 to $310.00,from United States,+$31.03 shipping,None,Pre-Owned
Apple iPhone 11 - 128GB - Black (Unlocked) (Read Description) ED1113,4.5 out of 5 stars.,$190.50,from United States,+$31.42 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 A2111 - 64GB - Purple (Unlocked) (MUST READ DESCRIPTION) 34517,4.5 out of 5 stars.,$168.50,from United States,+$30.78 shipping,None,Pre-Owned
Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Good Condition,5.0 out of 5 stars.,$220.00 to $338.00,from United States,+$35.78 shipping,39+ sold,Good - Refurbished
Apple iPhone 11 (PRODUCT) RED - 64GB (Factory Unlocked),5.0 out of 5 stars.,$244.94,from United States,+$33.03 shipping,64 sold,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
New ListingApple iPhone 11 - 64GB - Black (Unlocked) (Read Description) DF1088,4.5 out of 5 stars.,$119.50,from United States,+$29.33 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,4.5 out of 5 stars.,$394.95,from United States,+$37.46 shipping,949+ sold,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY
Apple iPhone 11 Pro Max 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,4.5 out of 5 stars.,$364.95,from United States,+$36.57 shipping,599+ sold,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY
"Apple iPhone 11 64GB 128GB 256GB GSM UNLOCKED, VERIZON UNLOCKED Fair",5.0 out of 5 stars.,$199.99 to $299.99,from United States,+$32.00 shipping,None,12-MONTH WARRANTY • HAND TESTED • FREE SHIPPING
Apple iPhone 11 (USED) - 64GB - Red UNLOCKED ... LOOK!!!,4.5 out of 5 stars.,$152.50,from United States,+$36.55 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Excellent Condition,None Rating,$270.00 to $308.00,from United States,+$33.77 shipping,None,Excellent - Refurbished
Apple iPhone 11 Pro Max - 256GB - Gold (Unlocked) (Read Description) DD1067,5.0 out of 5 stars.,$285.00,from United States,+$34.21 shipping,None,Pre-Owned · Apple iPhone 11 Pro Max · 256 GB · Unlocked
Apple iPhone 11 - 64GB - Purple (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$135.00,from United States,+$35.86 shipping,None,Parts Only
Apple iPhone 11 - 64GB - Factory Unlocked - Pre-Owned Good Condition,4.5 out of 5 stars.,$254.00,from United States,+$33.30 shipping,340+ sold,Free 2-Day Shipping | 1 YEAR WARRANTY| Free Returns
Apple iPhone 11 128GB Black Unlocked Good Condition,None Rating,$176.00 to $367.00,from United States,+$31.00 shipping,48+ sold,Pre-Owned
Apple iPhone 11 - 128GB - Factory Unlocked - Very Good Condition,4.5 out of 5 stars.,$314.00,from United States,+$35.07 shipping,367+ sold,Free 2-Day Shipping | 1 YEAR WARRANTY| Free Returns
"Apple iPhone 11 Pro Unlocked, 64GB/256GB/512GB, All Colours - Good",5.0 out of 5 stars.,$336.99 to $398.26,from United Kingdom,+$28.68 shipping estimate,63+ sold,Fast and Free Shipping 12 Months Warranty UK Seller
Apple iPhone 11 - 64GB Black - 4G LTE Factory Unlocked (GOOD),4.5 out of 5 stars.,$244.94,from United States,+$33.03 shipping,115 sold,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,5.0 out of 5 stars.,$364.95,from United States,+$36.57 shipping,670+ sold,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY
Apple iPhone 11 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,4.5 out of 5 stars.,$434.95,from United States,+$38.64 shipping,124+ sold,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY
Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked All Colours - Excellent,4.5 out of 5 stars.,$464.45 to $537.97,from United Kingdom,+$32.56 shipping estimate,None,SAVE 20% WITH CODE "SAVENOW" ENDS 16/11
Apple iPhone 11 Pro 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,4.5 out of 5 stars.,$319.95,from United States,+$35.24 shipping,786+ sold,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY
Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$167.50,from United States,+$38.90 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 Pro Max A2161 Verizon AT&T TMob Factory Unlocked - NO FACE ID - ,4.5 out of 5 stars.,$329.00 to $399.00,from United States,+$35.51 shipping,22+ sold,- NO FACE ID SALE - FULL WARRANTY - 2DAY SHIP -
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$239.95,from United States,+$32.88 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
New ListingApple iPhone 11 Pro Max - 512GB / Unlocked,4.5 out of 5 stars.,$241.00,from United States,+$42.90 shipping,None,Pre-Owned · Apple iPhone 11 Pro Max · 512 GB · Unlocked
Apple iPhone 11 64GB 128GB 256GB Unlocked SIM Free IOS Smartphone - Excellent,None Rating,$342.99 to $453.28,from United Kingdom,+$28.86 shipping estimate,None,20% OFF WITH CODE SAVENOW MAX £75 - 12 MONTHS WARRANTY
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$174.50,from United States,+$39.10 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
New Sealed Apple iPhone 11 64GB Black For Straight Talk & Total By Verizon,None Rating,$239.99,from United States,+$32.88 shipping,None,Free Shipping • 1 Year Warranty
Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Good,4.5 out of 5 stars.,$176.00 to $367.00,from United States,+$31.00 shipping,99+ sold,Pre-Owned
Apple iPhone 11 Pro - 64GB - Gold (Unlocked) (Read Description) EE1128,4.5 out of 5 stars.,$102.50,from United States,+$28.83 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 64 GB · Unlocked
Apple iPhone 11 Pro - 256GB - Gold (Unlocked) A2160 (CDMA + GSM),5.0 out of 5 stars.,$152.50,from United States,+$30.30 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 256 GB · Unlocked
Apple iPhone 11 Pro 64GB Unlocked AT&T T-Mobile Verizon Excellent Condition,4.5 out of 5 stars.,$319.95,from United States,+$35.24 shipping,289+ sold,FREE FEDEX 2 DAY - 60 DAY RETURNS - 1 YEAR WARRANTY
Apple iPhone 11 - 64GB - White (Factory Unlocked) - Fair,4.5 out of 5 stars.,$229.99,from United States,+$32.59 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Cricket Wireless
iPhone 11 64GB (Unlocked),4.5 out of 5 stars.,$185.00,from United States,+$39.41 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Cricket Wireless
Apple iPhone 11 - 64GB - Black (Unlocked) A2111 (CDMA + GSM),4.5 out of 5 stars.,$143.50,from United States,+$36.11 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Iphone 11 Pro 256 GB (Unlocked),4.5 out of 5 stars.,$220.00,from United States,+$34.45 shipping,None,Pre-Owned · Apple iPhone 11 Pro · 256 GB · Unlocked
Apple iPhone 11 - 128GB - Black (Unlocked) A2111 *READ*,4.5 out of 5 stars.,$167.50,from United States,+$38.75 shipping,None,Parts Only · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 128GB Purple Unlocked Cracked Screen.,5.0 out of 5 stars.,$182.50,from United States,+$31.19 shipping,None,Parts Only · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 Pro Max - 64GB - Gray (Unlocked) (Read Description) EE1084,4.5 out of 5 stars.,$160.00,from United States,+$30.52 shipping,None,Parts Only · Apple iPhone 11 Pro Max · 64 GB · Unlocked
Apple iPhone 11 Pro - 64GB - Green (Unlocked) (Read Description) ED1154,None Rating,$197.50,from United States,+$31.63 shipping,None,Parts Only · Apple iPhone 11 Pro · 64 GB · Unlocked
Apple iPhone 11 A2111 - 64GB - Green (Unlocked) (MUST READ DESCRIPTION),5.0 out of 5 stars.,$112.50,from United States,+$29.12 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 A2111 - 64GB - Black (Unlocked) (MUST READ DESCRIPTION) 34517,4.5 out of 5 stars.,$102.50,from United States,+$28.83 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 128GB - Purple (Unlocked),4.5 out of 5 stars.,$162.50,from United States,+$39.00 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
Apple iPhone 11 - 64GB - Purple (Unlocked) (Read Description) EF1127,None Rating,$112.50,from United States,+$29.12 shipping,None,Pre-Owned · Apple iPhone 11 · 64 GB · Unlocked
Apple iPhone 11 - 128GB - Purple (Unlocked) (Read Description) EE1062,None Rating,$227.50,from United States,+$32.52 shipping,None,Pre-Owned · Apple iPhone 11 · 128 GB · Unlocked
